,abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
0,"New York, New Jersey, Pennsylvania, Delaware, Connecticut, Massachusetts and Rhode Island will unite to purchase medical supplies.",2020-05-03T13:10:38+0000,News,1773,8.0,Seven States to Coordinate on Amassing Medical Equipment to Fight Coronavirus,New York,
1,"On our daily walks together, my young daughter and I begin to navigate a new reality.",2020-05-01T19:30:09+0000,Op-Ed,1481,10.0,The Courage to Be Alone,Opinion,Sunday Review
2,The small-scale events could create a road map to help the men’s and women’s tours return.,2020-05-01T05:00:06+0000,News,1279,8.0,Tennis Coming Back Slowly With Exhibition Matches,Sports,Tennis
3,"By ordering in, a political reporter continues to enjoy his favorite dishes from around the country.",2020-05-01T18:24:58+0000,News,1175,3.0,The Best Part of the Campaign Trail (the Food!) Comes Home,Food,
4,"You or your loved one is another year older no matter what, so why not celebrate?",2020-05-02T16:00:07+0000,News,1331,7.0,"Go Ahead, Blow Out the Candles on Zoom",Smarter Living,
5,"Nonprofit groups led by black and Latino directors lag behind peers with white leaders, but two leading philanthropic organizations hope to change that.",2020-05-01T13:00:08+0000,News,1318,9.0,"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",Your Money,
6,"With a crunchy shortbread crust and tangy curd filling, this rhubarb-filled confection is perfect for spring.",2020-05-01T15:35:17+0000,News,446,2.0,"Introducing Rhubarb Bars, Lemon Bars’ Pinker Cousins",Food,
7,"Weeks of speculation about Mr. Kim’s health brought home an alarming fact: No one knows who will control North Korea, or its nuclear weapons, should he die.",2020-05-02T08:16:16+0000,News,1188,21.0,Kim Jong-un Is Back. What Happens When He’s Really Gone?,World,Asia Pacific
8,"In Phil Bildner’s “A High Five for Glenn Burke,” the inventor of the world’s most popular celebratory gesture helps a budding baseball player accept himself for who he is.",2020-05-01T18:40:26+0000,Review,655,18.0,Pride at the Plate for a Little League All-Star,Books,Book Review
9,"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.",2020-05-01T02:30:33+0000,News,712,,Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,Science,
