abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
"No corrections appeared in print on Monday, June 1, 2020.",2020-06-01T04:23:49+0000,News,61,,"No Corrections: June 1, 2020",Corrections,
Bertrand Bonello’s recent film makes its streaming debut on the Criterion Channel. And the heist movie starring Denzel Washington and Jodie Foster arrives on Netflix.,2020-06-01T05:00:09+0000,News,495,7,What’s on TV Monday: ‘Zombi Child’ and ‘Inside Man’,Arts,Television
Fires burned in the streets just before a citywide curfew went into effect. Police officers fired tear gas to dissuade protesters. And smoke was seen rising near the Washington Monument.,2020-06-01T04:49:52+0000,Video,0,,Fires Near White House During Protests in Washington,U.S.,
"Reid and Blake Ferguson are long snappers, housemates and training partners during an off-season that, so far, has no end date.",2020-06-01T07:00:18+0000,News,983,1,"For Sidelined N.F.L. Brothers, Training Is a Snap",Sports,Pro Football
"Thousands of people gathered across the city over the weekend at protests prompted by the death of George Floyd, who died last week after a police officer in Minneapolis knelt on his neck for nearly nine minutes.",2020-06-01T02:31:04+0000,Interactive Feature,0,,"Chants, Clashes and Hundreds of Arrests: What Happened at the Protests in New York City",New York,
The truck can be seen speeding toward protesters on a highway as demonstrations continued in Minneapolis for the sixth straight night.,2020-06-01T00:22:27+0000,Video,0,,Video Appears to Show a Tanker Truck Driving Into Minneapolis Protesters,U.S.,
"In search of creative inspiration, a New York-based photographer spent two weeks documenting Bangkok’s fresh markets and street vendors.",2020-06-01T09:00:32+0000,News,714,,Finding Euphoria in Bangkok’s Food Scene,Travel,
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for June.",2020-06-01T19:07:29+0000,News,1702,3,"The Best Movies and TV Shows Coming to Netflix, Amazon and More in June",Arts,Television
The artist recounts the genesis of her photo series on the sets and spaces where African Americans changed network television.,2020-06-01T09:00:33+0000,Op-Ed,1166,,Carrie Mae Weems: A Crack in the Cultural Armor,Opinion,
Here’s what you need to know at the end of the day.,2020-06-03T21:45:12+0000,briefing,1142,,"Minneapolis, Barack Obama, E-Bikes: Your Wednesday Evening Briefing",Briefing,
A reader cites the many miseries facing the U.S. and laments the president’s “utter failure to provide the requisite leadership.”,2020-06-01T19:10:01+0000,Letter,109,30,‘Our Nation Is Falling Apart’,Opinion,Letters
"The British and Canadian governments oppose admitting Russia into the bloc, as President Trump continues a renewed courtship of Russia’s leader.",2020-06-01T23:04:32+0000,News,1043,13,"Trump and Putin Discuss Russia’s Attendance at G7, but Allies Are Wary",U.S.,Politics
"It can be hard to cook in times like these, but do it all the same.",2020-06-01T14:40:01+0000,News,596,,Cook for Comfort,Food,
"A foreign ministry spokesman stayed close to the Communist Party’s official position on Hong Kong, suggesting that Beijing was waiting to see the specifics of the U.S. plan.",2020-06-01T11:47:36+0000,News,486,13,China Offers Measured Response to Trump’s Move on Hong Kong,World,Asia Pacific
Researchers whose canceled U.S. grant caused an outcry from other scientists urge preventive monitoring of viruses in southwestern China.,2020-06-01T16:42:18+0000,News,921,6,U.S. and Chinese Scientists Trace Evolution of Coronaviruses in Bats,Science,
The latest on stock market and business news during the coronavirus outbreak.,2020-06-01T08:37:14+0000,News,2233,,"U.S. Economy Faces Long-Term Recovery, C.B.O. Says",Business Day,
The Sergeants Benevolent Association posted a police report on the arrest of Chiara de Blasio during a protest on Saturday night.,2020-06-01T16:44:12+0000,News,818,19,Police Union Discloses Arrest of de Blasio’s Daughter in Privacy Breach,New York,
"The fifth and final season of “Fuller House” comes to a close on Netflix, and an anthology crime series returns on USA.",2020-06-02T05:00:10+0000,News,400,7,What’s on TV Tuesday: ‘Fuller House’ and ‘Dirty John’,Arts,Television
Washington’s elite has long bemoaned the “shattered norms” of the Trump presidency. But it has felt beside the point — like privilege talking — in the angry crowds of the last few nights.,2020-06-01T23:33:22+0000,News,1153,21,Trump Vowed to Disrupt Washington. Now He Faces Disruption in the Streets.,U.S.,Politics
Demonstrations in many California cities have taken place to protest the death of George Floyd while he was in police custody in Minneapolis.,2020-06-01T22:02:17+0000,Video,0,,Protest Scenes Across California,U.S.,Politics
Thomas Waerner of Norway and his sled dogs flew home on a 1960s-era plane bound for an aviation museum after being stranded by the pandemic in Alaska for months.,2020-06-03T17:09:18+0000,News,912,,Iditarod Champion and His Dogs Finally Make It Home,Sports,
"In communities across the country, congregations that had sequestered for months to avoid the coronavirus ventured forth at a social distance in search of comfort.",2020-06-01T00:28:09+0000,News,1524,14,"Amid Riots and a Pandemic, Church Attendance Resumes in ‘a Very Broken World’",U.S.,
"J.D. Scholten was preparing for a rematch with Mr. King, the controversial Iowa congressman. Then Mr. King lost the Republican primary.",2020-06-03T22:59:49+0000,News,992,25,"With Steve King Gone, Does the Democrat Have a Shot in His Iowa District?",U.S.,Politics
German authorities are investigating a 43-year-old sex offender in connection with the disappearance of the 3-year-old girl from a hotel room in Portugal 13 years ago.,2020-06-03T19:20:08+0000,News,1020,11,"German Man Is a Suspect in Case of Madeleine McCann, a Girl Missing Since 2007",World,Europe
"Daniel Thorson went into a silent retreat in mid-March, meditating through 75 coronavirus news cycles, Boris Johnson’s hospitalization, social distancing and sourdough starter. Now he’s catching up.",2020-06-02T22:09:40+0000,News,1143,4,‘Did I Miss Anything?’: A Man Emerges From a 75-Day Silent Retreat,U.S.,
Our ride with New York City medics during the coronavirus peak revealed a new side to their job: guiding patients on whether to go to the hospital.,2020-06-03T08:55:01+0000,Video,0,,"‘Bye, Mommy, I Love You’: Medics and Coronavirus Patients Make Hard Decisions",U.S.,
The Midwestern city that has been the site of unrest views itself as embracing multiculturalism. But it also struggles with segregation and racial gaps on education.,2020-06-01T09:00:30+0000,News,1636,1,"How Minneapolis, One of America’s Most Liberal Cities, Struggles With Racism",U.S.,
What if the protesters in Minneapolis had adopted the tactics of the anti-lockdown agitators?,2020-06-01T14:55:37+0000,Op-Ed,658,,When the Protesters Carried Guns,Opinion,
"Yes, you will most likely need to be indoors, or at least out of any public area, by 8 p.m.",2020-06-02T23:11:34+0000,News,752,,New York City’s Curfew: What You Need to Know,New York,
"Mr. Revzen, who had the coronavirus, held posts with regional companies and was on the staff of the Metropolitan Opera.",2020-06-01T19:23:27+0000,Obituary (Obit),410,10,"Joel Revzen, Conductor and Music Festival Leader, Dies at 74",Obituaries,
Meet the company with a unique vision for eyewear.,2020-06-02T15:37:42+0000,Video,0,,This Company Wants to Disrupt the Eyewear Industry,T Brand,
"Assigned to the Philippine Embassy in London, Mr. Reyes challenged expenditures on items like Persian rugs, perfume and real estate.",2020-06-02T06:40:52+0000,Obituary (Obit),390,10,"Ruben Varias Reyes, Diplomat Who Questioned Marcos Spending, Dies at 79",Obituaries,
"The Yakama Nation has been raising fish to release back into the Columbia River for more than a decade. Now, its hatchery is also producing caviar.",2020-06-02T15:13:33+0000,News,1640,1,"For This Tribe, Saving a River Means Saving the Sturgeon",Food,
"Get the latest primary results from Iowa, New Mexico, Pennsylvania and more.",2020-06-02T19:36:50+0000,Interactive Feature,0,,"Live Primary Election Results: Iowa, New Mexico, Pennsylvania and More Races to Watch",U.S.,Elections
"“He did not pray,” said Mariann E. Budde, the Episcopal bishop of Washington. “He did not mention George Floyd, he did not mention the agony of people who have been subjected to this kind of horrific expression of racism and white supremacy for hundreds of years.”",2020-06-02T03:32:27+0000,News,749,,Protesters Dispersed With Tear Gas So Trump Could Pose at Church,U.S.,Politics
"There are no other channels to watch, no distractions. We must bear witness.",2020-06-02T15:16:30+0000,Op-Ed,1431,,We Are Watching History Unfold in Real Time,Opinion,
"The police are supposed to protect free speech, not suppress it.",2020-06-03T00:13:31+0000,Editorial,1248,30,"In America, Protest Is Patriotic",Opinion,
Anyone who needs one more video to believe the brutality around us either refuses to learn or is content with the violence.,2020-06-03T09:00:16+0000,Op-Ed,1187,27,Please Stop Showing the Video of George Floyd’s Death,Opinion,
Where can we find the leadership to save the U.S.?,2020-06-02T23:53:48+0000,Op-Ed,1387,30,"America, We Break It, It’s Gone",Opinion,
One reader sympathizes with the merchants whose stores were vandalized; another says the looters she saw in SoHo were not protesters. Also: Rethinking libraries; the “Mrs.” file.,2020-06-03T18:58:35+0000,Letter,622,26,The Looting: The Victims and the Vandals,Opinion,Letters
"The low-oxygen zone can cause harm not just to marine life, but also to those who catch shrimp and fish for their livelihood.",2020-06-03T21:53:54+0000,News,726,18,"Gulf of Mexico ‘Dead Zone’ Will Be Large This Summer, Scientists Predict",Climate,
"The main focus is how smoothly (or not) voting by mail unfolds, but several noteworthy congressional primaries will take place, including Mr. King’s latest challenge in Iowa.",2020-06-02T12:00:07+0000,News,1346,,Steve King Faces Primary as 8 States and D.C. Vote: What to Watch,U.S.,Politics
"As polls show President Trump significantly trailing his rival, Joseph R. Biden Jr., his campaign is spending heavily in states, like Ohio, that it had hoped would not be competitive at all this year.",2020-06-03T23:29:32+0000,News,1658,1,Trump Campaign Looks at Electoral Map and Doesn’t Like What It Sees,U.S.,Politics
These books can help start the conversation.,2020-06-03T12:35:24+0000,News,1192,,"Talking to Kids About Racism, Early and Often",Parenting,
"Created as a family meal dish for the El Bulli staff a decade ago, this three-ingredient dish utilizes pantry staples.",2020-06-01T19:57:36+0000,News,453,3,Ferran Adrià’s Potato Chip Omelet Delights Beyond Expectation,Food,
Officials fear disastrous gridlock if people turn to cars because they remain concerned about getting the coronavirus on the subway and other public transit.,2020-06-01T09:00:26+0000,News,1662,1,Can 8 Million Daily Riders Be Lured Back to N.Y. Mass Transit?,New York,
"Five hundred species are likely to become extinct over the next two decades, according to a new study.",2020-06-01T19:39:53+0000,News,1213,13,"Mass Extinctions Are Accelerating, Scientists Report",Science,
"Mr. Engel, a Democratic congressman from New York, is facing a primary challenge and has been criticized for staying in Washington during the pandemic. He made the remark at an event after returning to the Bronx.",2020-06-02T19:03:18+0000,News,505,28,"Eliot Engel’s Hot Mic Moment: ‘If I Didn’t Have a Primary, I Wouldn’t Care’",U.S.,Politics
"African governments have loudly protested abuse of their citizens in China, but the Trump administration’s response to harassment of African-Americans has been muted.",2020-06-02T09:00:23+0000,News,1734,6,‘We Need Help’: Coronavirus Fuels Racism Against Black Americans in China,U.S.,Politics
And what else you need to know today.,2020-06-03T10:45:17+0000,briefing,1690,,When Jail Becomes Normal,Briefing,
"As many cultural institutions are dealing with layoffs and furloughs, some are appointing new leaders who face a whole new set of challenges.",2020-06-03T15:00:13+0000,News,1263,1,Could There Be a More Difficult Time to Become an Arts Leader?,Arts,Art & Design
"A 1961 glass house in Chardon, Ohio; a two-bedroom condo in Pittsburgh; and a 1924 Prairie-style duplex in Indianapolis.",2020-06-03T13:00:32+0000,Slideshow,0,,"What You Get for $600,000",Real Estate,
"The British and Canadian governments oppose admitting Russia into the bloc, as President Trump continues a renewed courtship of Russia’s leader.",2020-06-01T23:04:32+0000,News,1043,13,"Trump and Putin Discuss Russia’s Attendance at G7, but Allies Are Wary",U.S.,Politics
A reader cites the many miseries facing the U.S. and laments the president’s “utter failure to provide the requisite leadership.”,2020-06-01T19:10:01+0000,Letter,109,30,‘Our Nation Is Falling Apart’,Opinion,Letters
Sally Challen’s landmark case has put a spotlight on the fight against domestic abuse in Britain.,2020-06-01T06:11:39+0000,News,917,13,Abused Woman Who Killed Husband Is Granted the Family’s U.K. Estate,World,Europe
"A foreign ministry spokesman stayed close to the Communist Party’s official position on Hong Kong, suggesting that Beijing was waiting to see the specifics of the U.S. plan.",2020-06-01T11:47:36+0000,News,486,13,China Offers Measured Response to Trump’s Move on Hong Kong,World,Asia Pacific
The latest on stock market and business news during the coronavirus outbreak.,2020-06-01T08:37:14+0000,News,2233,,"U.S. Economy Faces Long-Term Recovery, C.B.O. Says",Business Day,
The Sergeants Benevolent Association posted a police report on the arrest of Chiara de Blasio during a protest on Saturday night.,2020-06-01T16:44:12+0000,News,818,19,Police Union Discloses Arrest of de Blasio’s Daughter in Privacy Breach,New York,
Demonstrations in many California cities have taken place to protest the death of George Floyd while he was in police custody in Minneapolis.,2020-06-01T22:02:17+0000,Video,0,,Protest Scenes Across California,U.S.,Politics
Researchers whose canceled U.S. grant caused an outcry from other scientists urge preventive monitoring of viruses in southwestern China.,2020-06-01T16:42:18+0000,News,921,6,U.S. and Chinese Scientists Trace Evolution of Coronaviruses in Bats,Science,
And what else you need to know today.,2020-06-03T10:45:17+0000,briefing,1690,,When Jail Becomes Normal,Briefing,
"Mr. Engel, a Democratic congressman from New York, is facing a primary challenge and has been criticized for staying in Washington during the pandemic. He made the remark at an event after returning to the Bronx.",2020-06-02T19:03:18+0000,News,505,28,"Eliot Engel’s Hot Mic Moment: ‘If I Didn’t Have a Primary, I Wouldn’t Care’",U.S.,Politics
Johanna Fenimore tells us a story.,2020-06-03T02:00:04+0000,News,428,,Airy Snack Item,Crosswords & Games,
"The e-cigarette company, which has quickly eclipsed Juul, has advertised its products as a break from “parental texts and WFH stress.”",2020-06-02T22:12:03+0000,News,817,,Lawmakers Say Puff Bar Used Pandemic to Market to Teens,Health,
